,original,name,price,link,image,contact,ownerName,city,district,unit,standardPrice
0,muskmelon,"A Grade Freeze Dried Muskmelon, Packaging Type: 3 Layer Aluminium Bag, Packaging Size: 5 Kg",2300,swastik-food-mumbai/freeze-dried-fruit.html,https://5.imimg.com/data5/SELLER/Default/2021/4/KO/CY/EL/103086077/freeze-dried-muskmelon-125x125.jpeg,8046067862,Swastik Food,Mumbai,,Kg,"2,300/Kg"
1,muskmelon,"Natural Frozen Green Muskmelon Balls, Packaging Type: carton, -18",85,agrodelight-foods/frozen-fruits.html,https://5.imimg.com/data5/SELLER/Default/2023/3/CG/PJ/ZU/145460497/frozen-green-muskmelon-balls-125x125.jpg,7942560827,Agrodelight Foods Private Limited,Jejuri,Pune,Kg,85/Kg
2,muskmelon,A Grade Musk Melon,30,adinathglobalexports/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2022/2/YO/PD/QW/3164894/musk-mellon-125x125.png,7942558343,Adinath Trading Company ( Atc ),New Delhi,,kg,30/kg
3,muskmelon,"A Grade Muskmelon, Packaging Type: Plastic Bag, Packaging Size: 50 Kg",20,anvishaenterprises/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2022/12/FW/BW/AA/36461673/muskmelon-125x125.jpeg,8045908342,Anvisha Enterprises,Nashik,,Kg,20/Kg
4,muskmelon,"Cantaloupe Extract Powder, Drum, Packaging Size: 25 kg",900,worldofnature/fruits-extract.html,https://5.imimg.com/data5/SELLER/Default/2021/3/GZ/NL/CG/67665988/cantaloupe-extract-powder-125x125.jpg,7942559017,World Of Nature,Pune,,Kg,900/Kg
5,muskmelon,"A Grade Muskmelon Aaliya 10 gm, Packaging Type: pouch",3260,sanashitechagro/muskmelon-seeds.html,https://5.imimg.com/data5/ANDROID/Default/2022/12/EE/OK/WH/6399641/product-jpeg-125x125.jpg,8048956662,Sanas Hitech Agro Services,Pune,,Tonne,"3,260/Tonne"
6,muskmelon,A Grade Fresh Muskmelon Fruit,10,halimaspicefood/fresh-muskmelon.html,https://5.imimg.com/data5/UE/MG/ZQ/ANDROID-100814369/product-jpeg-125x125.jpg,7942535295,Halima Spice And Food (opc) Private Limited,Ahmedabad,,KG,10/KG
7,muskmelon,"Kharbuja, Packaging Type: Carton",105,princefoodproduct/muskmelon.html,https://5.imimg.com/data5/ANDROID/Default/2023/2/RG/IU/PB/60881204/product-jpeg-125x125.jpg,8043865203,Prince Food Product,Delhi,,Box,105/Box
8,muskmelon,"Cosmetic Fragrances A Grade Musk Klm, Packaging Type: Bottle",,mohan-aromatics/muskmelon.html,https://5.imimg.com/data5/SELLER/Default/2020/12/YS/DO/QX/3659300/d52a0670-7c08-4528-a696-3909e0411b1c-125x125.jpg,8046045048,Mohan Aromatics Private Limited,Mumbai,,,
9,muskmelon,"Natural Frozen Muskmelon Balls, Packaging Type: Packet, Iqf",155,suyog-food-products/frozen-fruit-dices.html,https://5.imimg.com/data5/ANDROID/Default/2021/12/ET/QJ/CY/23664449/product-jpeg-125x125.jpg,8048263408,Suyog Food Products,Pune,,Kg,155/Kg
10,muskmelon,"Sweet Candy A Grade Fresh Export Quality Musk Melon, Packaging Type: Gunny Bag, Packaging Size: Bulk",28000,muscat-trading-co/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2022/8/UF/ID/PV/53403051/fresh-musk-melon-125x125.jpg,8048618905,Muscat Trading Company & Services (MTCO),Coimbatore,,Tonne,"28,000/Tonne"
11,muskmelon,Organic Muskmelon,40,dharsiniexports/natural-fruits.html,https://5.imimg.com/data5/TL/RL/MY-1600400/organic-muskmelon-125x125.jpg,8048609802,Dharsini Exports,Coimbatore,,Kilogram,40/Kilogram
12,muskmelon,Organic Muskmelon,80,orga-foods/fresh-fruits.html,https://5.imimg.com/data5/OE/PY/MY-1735846/fresh-muskmelon-125x125.jpg,8046061263,Orga Foods,Coimbatore,,Kilogram,80/Kilogram
13,muskmelon,Kundan A Grade Fresh Muskmelon Fruit,16,riyathfruits/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2023/2/KZ/LL/TK/49293026/whatsapp-image-2023-02-03-at-8-27-40-am-1--125x125.jpeg,7942787189,Riyath Fruits,Dindigul,,Kg,16/Kg
14,muskmelon,"A Grade Thai Muskmelan, Packaging Type: Carton, Packaging Size: 5 Kg",200,jcfruitcenter/muskmelon.html,https://5.imimg.com/data5/ANDROID/Default/2023/2/HI/GO/VM/162935399/product-jpeg-125x125.jpg,8047551711,J C Fruit Center,Mumbai,,Kg,200/Kg
15,muskmelon,A Grade Fresh Muskmelon,33,poonaagrocart/fresh-fruits.html,https://5.imimg.com/data5/SELLER/Default/2023/1/PP/GX/UX/122538668/a-grade-fresh-muskmelon-125x125.png,7942797530,Poonaagrocart LLP,Pune,,Kg,33/Kg
